discord_name,vrc_name,runstyle,role
sr229,Minori みのり,EC+LS,0
the_k05,Kiyømi,FR,0
nobleskoogs,Nobleskoogs,EC+LS+PC+FR,1
scarletreaper,ScarletValemont,PC+LS,1
kyuroshixd,Kyuroshi,LS,3
yosune_suzuki,MachitanGroove,PC,3
kaiokura,Kaiokura,EC,3
polaritus,Polaritus,FR,3
itsrimaru,ItsRimaru,FR,3
cosmic_floof,Cosmic_Floof,FR,3
nikkitine,Nikkitine,EC,3
koishikomeiji0772,koishi 205,FR,3
reverbedskrew,ReverbedSkrew,EC,3
ultragalaxy,Ultra-Galaxy,EC,3
vikash48,Vikash 48,FR,3
epiloxtherogue,Epilox,PC,3
zoreah,Zoreah,EC,3
visy5785,Vissy-1,EC,2
yuval14,yuvalh,LS,3
bekapham,Bekapham,LS,3
mrtheshadowon,MrTheshadowon,EC,3
valkyrie.vrc,Valkyrie,FR,3